ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,SUMMARY_SEQ,BENEFICIAL_USE_ID,FRESH_SALINE_IND,SOURCE_TYPE,POWER_GENERATED,POPULATION_SERVED,WFS_FEATURE_REF
TWDB,2015,12,1,16,1,1,,2829783,
TWDB,2015,13,1,16,1,1,,89613,
TWDB,2015,9999,1,16,1,1,,185055,
TWDB,2015,14,1,16,1,1,,2147814,
TWDB,2015,15,1,16,1,1,,25368,
TWDB,2015,4,1,16,1,1,,154275,
TWDB,2015,18,1,16,1,1,,545679,
TWDB,2015,16,1,16,1,1,,50399,
TWDB,2015,17,1,16,1,1,,52483,
TWDB,2015,6,1,16,1,1,,681515,
TWDB,2015,7,1,16,1,1,,214572,
TWDB,2015,21,1,16,1,1,,236922,
TWDB,2015,22,1,16,1,1,,1694696,
TWDB,2015,2,1,16,1,1,,597875,
TWDB,2015,23,1,16,1,1,,1402101,
TWDB,2015,5,1,16,1,1,,576124,
TWDB,2015,19,1,16,1,1,,2104957,
TWDB,2015,20,1,16,1,1,,122967,
TWDB,2015,10,1,16,1,1,,4918999,
TWDB,2015,11,1,16,1,1,,1248804,
TWDB,2015,3,1,16,1,1,,186770,
TWDB,2015,8,1,16,1,1,,7295036,
TWDB,2015,9,1,16,1,1,,107307,
TWDB,2015,12,1,17,1,1,,2829783,
TWDB,2015,13,1,17,1,1,,89613,
TWDB,2015,9999,1,17,1,1,,185055,
TWDB,2015,14,1,17,1,1,,2147814,
TWDB,2015,15,1,17,1,1,,25368,
TWDB,2015,4,1,17,1,1,,154275,
TWDB,2015,18,1,17,1,1,,545679,
TWDB,2015,16,1,17,1,1,,50399,
TWDB,2015,17,1,17,1,1,,52483,
TWDB,2015,6,1,17,1,1,,681515,
TWDB,2015,7,1,17,1,1,,214572,
TWDB,2015,21,1,17,1,1,,236922,
TWDB,2015,22,1,17,1,1,,1694696,
TWDB,2015,2,1,17,1,1,,597875,
TWDB,2015,23,1,17,1,1,,1402101,
TWDB,2015,5,1,17,1,1,,576124,
TWDB,2015,19,1,17,1,1,,2104957,
TWDB,2015,20,1,17,1,1,,122967,
TWDB,2015,10,1,17,1,1,,4918999,
TWDB,2015,11,1,17,1,1,,1248804,
TWDB,2015,3,1,17,1,1,,186770,
TWDB,2015,8,1,17,1,1,,7295036,
TWDB,2015,9,1,17,1,1,,107307,
TWDB,2015,12,1,18,1,1,,2829783,
TWDB,2015,13,1,18,1,1,,89613,
TWDB,2015,9999,1,18,1,1,,185055,
TWDB,2015,14,1,18,1,1,,2147814,
TWDB,2015,15,1,18,1,1,,25368,
TWDB,2015,4,1,18,1,1,,154275,
TWDB,2015,18,1,18,1,1,,545679,
TWDB,2015,16,1,18,1,1,,50399,
TWDB,2015,17,1,18,1,1,,52483,
TWDB,2015,6,1,18,1,1,,681515,
TWDB,2015,7,1,18,1,1,,214572,
TWDB,2015,21,1,18,1,1,,236922,
TWDB,2015,22,1,18,1,1,,1694696,
TWDB,2015,2,1,18,1,1,,597875,
TWDB,2015,23,1,18,1,1,,1402101,
TWDB,2015,5,1,18,1,1,,576124,
TWDB,2015,19,1,18,1,1,,2104957,
TWDB,2015,20,1,18,1,1,,122967,
TWDB,2015,10,1,18,1,1,,4918999,
TWDB,2015,11,1,18,1,1,,1248804,
TWDB,2015,3,1,18,1,1,,186770,
TWDB,2015,8,1,18,1,1,,7295036,
TWDB,2015,9,1,18,1,1,,107307,
TWDB,2015,12,1,13,1,1,,,
TWDB,2015,13,1,13,1,1,,,
TWDB,2015,9999,1,13,1,1,,,
TWDB,2015,14,1,13,1,1,,,
TWDB,2015,15,1,13,1,1,,,
TWDB,2015,4,1,13,1,1,,,
TWDB,2015,18,1,13,1,1,,,
TWDB,2015,16,1,13,1,1,,,
TWDB,2015,17,1,13,1,1,,,
TWDB,2015,6,1,13,1,1,,,
TWDB,2015,7,1,13,1,1,,,
TWDB,2015,21,1,13,1,1,,,
TWDB,2015,22,1,13,1,1,,,
TWDB,2015,2,1,13,1,1,,,
TWDB,2015,23,1,13,1,1,,,
TWDB,2015,5,1,13,1,1,,,
TWDB,2015,19,1,13,1,1,,,
TWDB,2015,20,1,13,1,1,,,
TWDB,2015,10,1,13,1,1,,,
TWDB,2015,11,1,13,1,1,,,
TWDB,2015,3,1,13,1,1,,,
TWDB,2015,8,1,13,1,1,,,
TWDB,2015,9,1,13,1,1,,,
TWDB,2015,12,1,14,1,1,,,
TWDB,2015,13,1,14,1,1,,,
TWDB,2015,9999,1,14,1,1,,,
TWDB,2015,14,1,14,1,1,,,
TWDB,2015,15,1,14,1,1,,,
TWDB,2015,4,1,14,1,1,,,
TWDB,2015,18,1,14,1,1,,,
TWDB,2015,16,1,14,1,1,,,
TWDB,2015,17,1,14,1,1,,,
TWDB,2015,6,1,14,1,1,,,
TWDB,2015,7,1,14,1,1,,,
TWDB,2015,21,1,14,1,1,,,
TWDB,2015,22,1,14,1,1,,,
TWDB,2015,2,1,14,1,1,,,
TWDB,2015,23,1,14,1,1,,,
TWDB,2015,5,1,14,1,1,,,
TWDB,2015,19,1,14,1,1,,,
TWDB,2015,20,1,14,1,1,,,
TWDB,2015,10,1,14,1,1,,,
TWDB,2015,11,1,14,1,1,,,
TWDB,2015,3,1,14,1,1,,,
TWDB,2015,8,1,14,1,1,,,
TWDB,2015,9,1,14,1,1,,,
TWDB,2015,12,1,15,1,1,,,
TWDB,2015,13,1,15,1,1,,,
TWDB,2015,9999,1,15,1,1,,,
TWDB,2015,14,1,15,1,1,,,
TWDB,2015,15,1,15,1,1,,,
TWDB,2015,4,1,15,1,1,,,
TWDB,2015,18,1,15,1,1,,,
TWDB,2015,16,1,15,1,1,,,
TWDB,2015,17,1,15,1,1,,,
TWDB,2015,6,1,15,1,1,,,
TWDB,2015,7,1,15,1,1,,,
TWDB,2015,21,1,15,1,1,,,
TWDB,2015,22,1,15,1,1,,,
TWDB,2015,2,1,15,1,1,,,
TWDB,2015,23,1,15,1,1,,,
TWDB,2015,5,1,15,1,1,,,
TWDB,2015,19,1,15,1,1,,,
TWDB,2015,20,1,15,1,1,,,
TWDB,2015,10,1,15,1,1,,,
TWDB,2015,11,1,15,1,1,,,
TWDB,2015,3,1,15,1,1,,,
TWDB,2015,8,1,15,1,1,,,
TWDB,2015,9,1,15,1,1,,,
TWDB,2015,12,1,7,1,1,,,
TWDB,2015,13,1,7,1,1,,,
TWDB,2015,9999,1,7,1,1,,,
TWDB,2015,14,1,7,1,1,,,
TWDB,2015,15,1,7,1,1,,,
TWDB,2015,4,1,7,1,1,,,
TWDB,2015,18,1,7,1,1,,,
TWDB,2015,16,1,7,1,1,,,
TWDB,2015,17,1,7,1,1,,,
TWDB,2015,6,1,7,1,1,,,
TWDB,2015,7,1,7,1,1,,,
TWDB,2015,21,1,7,1,1,,,
TWDB,2015,22,1,7,1,1,,,
TWDB,2015,2,1,7,1,1,,,
TWDB,2015,23,1,7,1,1,,,
TWDB,2015,5,1,7,1,1,,,
TWDB,2015,19,1,7,1,1,,,
TWDB,2015,20,1,7,1,1,,,
TWDB,2015,10,1,7,1,1,,,
TWDB,2015,11,1,7,1,1,,,
TWDB,2015,3,1,7,1,1,,,
TWDB,2015,8,1,7,1,1,,,
TWDB,2015,9,1,7,1,1,,,
TWDB,2015,12,1,8,1,1,,,
TWDB,2015,13,1,8,1,1,,,
TWDB,2015,9999,1,8,1,1,,,
TWDB,2015,14,1,8,1,1,,,
TWDB,2015,15,1,8,1,1,,,
TWDB,2015,4,1,8,1,1,,,
TWDB,2015,18,1,8,1,1,,,
TWDB,2015,16,1,8,1,1,,,
TWDB,2015,17,1,8,1,1,,,
TWDB,2015,6,1,8,1,1,,,
TWDB,2015,7,1,8,1,1,,,
TWDB,2015,21,1,8,1,1,,,
TWDB,2015,22,1,8,1,1,,,
TWDB,2015,2,1,8,1,1,,,
TWDB,2015,23,1,8,1,1,,,
TWDB,2015,5,1,8,1,1,,,
TWDB,2015,19,1,8,1,1,,,
TWDB,2015,20,1,8,1,1,,,
TWDB,2015,10,1,8,1,1,,,
TWDB,2015,11,1,8,1,1,,,
TWDB,2015,3,1,8,1,1,,,
TWDB,2015,8,1,8,1,1,,,
TWDB,2015,9,1,8,1,1,,,
TWDB,2015,12,1,9,1,1,,,
TWDB,2015,13,1,9,1,1,,,
TWDB,2015,9999,1,9,1,1,,,
TWDB,2015,14,1,9,1,1,,,
TWDB,2015,15,1,9,1,1,,,
TWDB,2015,4,1,9,1,1,,,
TWDB,2015,18,1,9,1,1,,,
TWDB,2015,16,1,9,1,1,,,
TWDB,2015,17,1,9,1,1,,,
TWDB,2015,6,1,9,1,1,,,
TWDB,2015,7,1,9,1,1,,,
TWDB,2015,21,1,9,1,1,,,
TWDB,2015,22,1,9,1,1,,,
TWDB,2015,2,1,9,1,1,,,
TWDB,2015,23,1,9,1,1,,,
TWDB,2015,5,1,9,1,1,,,
TWDB,2015,19,1,9,1,1,,,
TWDB,2015,20,1,9,1,1,,,
TWDB,2015,10,1,9,1,1,,,
TWDB,2015,11,1,9,1,1,,,
TWDB,2015,3,1,9,1,1,,,
TWDB,2015,8,1,9,1,1,,,
TWDB,2015,9,1,9,1,1,,,
TWDB,2015,12,1,10,1,1,,,
TWDB,2015,13,1,10,1,1,,,
