ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,BENEFICIAL_USE_ID,SUMMARY_SEQ,ROW_SEQ,AMOUNT,CONSUMPTIVE_INDICATOR,METHOD_ID,START_DATE,END_DATE
TWDB,2015,12,16,1,1,191211.0,2,1,01/01,12/31
TWDB,2015,13,16,1,1,12460.0,2,1,01/01,12/31
TWDB,2015,9999,16,1,1,31023.0,2,1,01/01,12/31
TWDB,2015,14,16,1,1,75318.0,2,1,01/01,12/31
TWDB,2015,15,16,1,1,3233.0,2,1,01/01,12/31
TWDB,2015,4,16,1,1,7917.0,2,1,01/01,12/31
TWDB,2015,18,16,1,1,40541.0,2,1,01/01,12/31
TWDB,2015,16,16,1,1,5716.0,2,1,01/01,12/31
TWDB,2015,17,16,1,1,1157.0,2,1,01/01,12/31
TWDB,2015,6,16,1,1,68224.0,2,1,01/01,12/31
TWDB,2015,7,16,1,1,7698.0,2,1,01/01,12/31
TWDB,2015,21,16,1,1,30163.0,2,1,01/01,12/31
TWDB,2015,22,16,1,1,29512.0,2,1,01/01,12/31
TWDB,2015,2,16,1,1,49576.0,2,1,01/01,12/31
TWDB,2015,23,16,1,1,128404.0,2,1,01/01,12/31
TWDB,2015,5,16,1,1,39992.0,2,1,01/01,12/31
TWDB,2015,19,16,1,1,273566.0,2,1,01/01,12/31
TWDB,2015,20,16,1,1,5755.0,2,1,01/01,12/31
TWDB,2015,10,16,1,1,287797.0,2,1,01/01,12/31
TWDB,2015,11,16,1,1,49297.0,2,1,01/01,12/31
TWDB,2015,3,16,1,1,5222.0,2,1,01/01,12/31
TWDB,2015,8,16,1,1,99310.0,2,1,01/01,12/31
TWDB,2015,9,16,1,1,1494.0,2,1,01/01,12/31
TWDB,2015,12,17,1,1,233588.0,2,1,01/01,12/31
TWDB,2015,13,17,1,1,0.0,2,1,01/01,12/31
TWDB,2015,9999,17,1,1,1944.0,2,1,01/01,12/31
TWDB,2015,14,17,1,1,222653.0,2,1,01/01,12/31
TWDB,2015,15,17,1,1,127.0,2,1,01/01,12/31
TWDB,2015,4,17,1,1,9691.0,2,1,01/01,12/31
TWDB,2015,18,17,1,1,39129.0,2,1,01/01,12/31
